STATE	Address	City	BranchCodeNo
Delhi	Delhi Main Branch 11, Parliament Street, New Delhi ,110001	New Delhi	691
Haryana	Chandigarh Main Branch SCO 43-48, Banking Square,Sector-17B, Chandigarh, Distt: ChandigarhState: Chandigarh, Pin : 160017	Chandigarh	628
Punjab	Chandigarh Main Branch SCO 43-48, Banking Square,Sector-17B, Chandigarh, Distt: ChandigarhState: Chandigarh, Pin : 160017	Chandigarh	628
Chandigarh	Chandigarh Main Branch SCO 43-48, Banking Square,Sector-17B, Chandigarh, Distt: ChandigarhState: Chandigarh, Pin : 160017	Chandigarh	628
Himachal Pradesh	Shimla Main BranchNear Kali Bari Temple, The Mall, Shimla, District : ShimlaState: Himachal Pradesh,Pin : 171003	Shimla	718
Jammu And Kashmir	Badami Bagh (Srinagar) Branch Badami BaghCantonment, Srinagar, Kashmir Dist : Badgam,State: Jammu & KashmirPin : 190001	Srinagar	2295
Uttarakhand	Dehra Dun Main Branch4, Convent Road, Dehradun Uttarakhand, District : Dehradun State: Uttarakhand Pin : 248001	Dehradun	630
Gujarat	Gandhinagar Branch, I Floor, Zonal Office Sector10 B Gandhinagar Distt: Gandhinagar,State : Gujarat Pin:382010.	Gandhinagar	1355
Dadar & Nagar Haveli And Daman & Diu	Gandhinagar Branch, I Floor, Zonal Office Sector10 B Gandhinagar Distt: Gandhinagar,State : Gujarat Pin:382010.	Gandhinagar	1355
Madhya Pradesh	Bhopal Main Branch T.T.Nagar,Bhopal-462003, Bhopal, Madhya Pradesh,District : Bhopal,State: Madhya Pradesh,Pin : 462003	Bhopal	1308
Chhattisgarh	Raipur Main Branch P.B.NO.29/61,Jaistambh Chowk, Raipur,District : RaipurState : Chhatisgarh Pin: 492001	Raipur	461
Rajasthan	Jaipur Main Branch P.B.No.72, Sanganeri GateJaipur, Rajasthan District: Jaipur,State: Rajasthan.Pin : 302003	Jaipur	656
Maharashtra	Mumbai Main Branch Mumbai Samachar MargHorniman Circle, Fort, Mumbai, Maharashtra Pin: 400001	Mumbai	300
Goa	Panaji BranchOpp : Hotel Mandovi, Dayanand, Dayanand Bandodkar Marg, Panaji, Goa.District : North Goa, State : Goa, Pin: 403001	Panaji	509
Lakshadweep	Panaji BranchOpp : Hotel Mandovi, Dayanand, Dayanand Bandodkar Marg, Panaji, Goa.District : North Goa, State : Goa, Pin: 403001	Panaji	509
Uttar Pradesh	Lucknow Main BranchTarawali Kothi, Motimahal Marg, Hazratganj, Lucknow, Uttar PradeshDistrict :Lucknow, State: Uttar PradeshPin : 226001	Lucknow	125
Odisha	Bhubaneswar Main Branch P.B.NO.14, Bhubaneswar BhubaneswarDistrict : KhurdaState: Odisha, Pin : 751001	Bhubaneswar	41
Andaman & Nicobar	Kolkata Main Branch Samriddhi Bhawan1, Strand Road, Kolkata, West Bengal, District :Kolkata.State: West Bengal. 3Pin : 700001	Kolkata	1
West Bengal	Kolkata Main Branch Samriddhi Bhawan1, Strand Road, Kolkata, West Bengal, District :Kolkata.State: West Bengal. 3Pin : 700001	Kolkata	1
Bihar	Patna Main BranchWest Gandhi Maidhan, Patna, Bihar. Pin: 800001	Patna	152
Jharkhand	Ranchi Branch Court Compound,Jharkhand, District : Ranchi, State: Jharkhand, Pin : 834001	Ranchi	167
Sikkim	Gangtok BranchM G Marg, Gangtok SIKKIM Dist: East SikkimState : Sikkim Pin : 737101	Gangtok	232
Arunachal Pradesh	Itanagar BranchTT Marg,VIP Road Bank Tinali, Itanagar, Arunachal Pradesh District : PapumpareState : Arunachal PradeshPin : 791111	Itanagar	6091
Nagaland	Kohima BranchNear deputy commissioner's office KohimaNagaland Pin: 797001	Kohima	214
Assam	Guwahati BranchPan Bazar, MG Road,Kamrup, Guwahati, Pin: 781001	Guwahati	78
Manipur	Imphal BranchM G Avenue, Imphal west ManipurPin: 795001	Imphal	92
Meghalaya	Shilong BranchMG Road, Near General PO Shillong, District: Khasi Hills (E), Meghalaya,Pin: 793001	Shilong	181
Mizoram	Aizawl Branch Solomns caveDistrict: Aizawl, MizoramPin: 796001	Aizawl	1539
Tripura	Agartala BranchHari Ganga Basak road, AgartalaDistrict: Tripura (W), Tripura Pin: 799001	Agartala	2
Andhra Pradesh	Visakhapatnam Branch Rednam Gardens, Jail Road,Junction, Opp. Pages/Vodaphone Off, Visakhapatnam,District: Visakhapatnam State : Andhra Pradesh Pin : 530002	Visakhapatnam	952
Telangana	Hyderabad Main Branch Bank Street, Koti, Hyderabad. District : HyderabadState: TelanganaPin : 500095	Hyderabad	847
Puducherry	Chennai Main Branch 336/166, Thambuchetty Street, Parrys, Chennai.State: Tamil NaduPin : 600001	Chennai	800
Tamil Nadu	Chennai Main Branch 336/166, Thambuchetty Street, Parrys, Chennai.State: Tamil NaduPin : 600001	Chennai	800
Karnataka	Bengaluru Main Branch Post Bag No.5310,St. Marks Road, Bangalore,District :Bangalore Urban, State: Karnataka, Pin : 560001	Bengaluru	813
Kerala	Thiruvananthapuram Branch P.B.No.14, M.G.Road,Thiruvananthapuram,District : Thiruvananthapuram, State: Kerala, Pin: 695001	Thiruvananthapuram	941
